Strain,dnaK_similarity,dnaK_coded,recA_similarity,recA_coded,ITS_similarity,ITS_coded,glnII_similarity,glnII_coded,nifD_similarity,nifD_coded,nodA_similarity,nodA_coded,nodL_similarity,nodL_coded,nodZ_similarity,nodZ_coded,Source,Site,Latitude,Longitude,Host,Rhizobial_lineage,ANI_species
19AcHe316.1.1,19AcHe316.1.1,K1,19AcS397Asp.3.1,R1,11LoS24_1,I1,11LoS6_3,G1,11LoS6_3,D1,19AcGLB10.1.1,A1,05LoS16_8,L1,11LoS7_2,Z1,Genomes,San Dimas Canyon,34.16452702,-117.769316,A. heermannii,Bradyrhizobium,24
19AcS309.1.1,19AcHe316.1.1,K1,05LoS13_4,R2,11LoS24_1,I1,11LoS6_3,G1,19AcS309.1.1,D2,19AcGLB10.1.1,A1,19AcS309.1.1,L2,19AcS309.1.1,Z2,Genomes,Santa Cruz Island,34.00555,-119.70445,A. strigosus,Bradyrhizobium,24
19AcARN268.1.1,19AcHe316.1.1,K1,19AcS397Asp.3.1,R1,11LoS24_1,I1,11LoS6_3,G1,19AcS5.2.1,D3,19AcS398Asp.1.1,A2,19AcARN268.1.1,L3,11LoS6_3,Z3,Genomes,Santa Cruz Island,34.01141,-119.68967,A. argophyllus var. niveus,Bradyrhizobium,24
19AcS398Asp.1.1,19AcHe316.1.1,K1,19AcS397Asp.3.1,R1,19AcS398Asp.1.1,I2,11LoS6_3,G1,12LoS5_2,D4,19AcS398Asp.1.1,A2,05LoS22_6,L4,11LoS6_3,Z3,Genomes,Sedgwick,34.7394333,-120.0268833,A. strigosus,Bradyrhizobium,24
19AcS307.2.1,19AcHe316.1.1,K1,05LoS7_9,R3,11LoS24_1,I1,11LoS6_3,G1,19AcS307.2.1,D5,19AcS307.2.1,A3,19AcS5.1.1,L5,11LoS15_2,Z4,Genomes,Santa Cruz Island,34.00555,-119.70445,A. strigosus,Bradyrhizobium,24
19AcPa147.3.1,19AcHe316.1.1,K1,19AcS397Asp.3.1,R1,11LoS23_10,I3,11LoS6_3,G1,19AcPa178.2.1,D6,19AcPa285.2.1,A4,19AcAm188A.1.1,L6,19AcPa151A.1.1,Z5,Genomes,Hastings Reserve,36.37865704,-121.563095,A. parviflorus,Bradyrhizobium,24
19AcGLB102.2.2,19AcHe316.1.1,K1,19AcS397Asp.3.1,R1,11LoS24_1,I1,11LoS6_3,G1,09LoS40_10,D7,19AcGLB102.2.2,A5,05LoS16_12,L7,19AcS142.2.1,Z6,Genomes,Hastings Reserve,36.35856,-121.5516,A. glaber,Bradyrhizobium,24
19AcS313B.1.1,19AcHe316.1.1,K1,05LoS13_4,R2,12LoS5_1,I4,11LoS6_3,G1,11LoS34_5,D8,19AcGLB10.1.1,A1,05LoS16_12,L7,11LoS6_3,Z3,Genomes,San Dimas Canyon,34.16377097,-117.769158,A. strigosus,Bradyrhizobium,24
05LoS8_14,19AcHe316.1.1,K1,19AcS397Asp.3.1,R1,11LoS24_1,I1,11LoS6_3,G1,11LoS34_5,D8,19AcS398Asp.1.1,A2,05LoS16_8,L1,11LoS6_3,Z3,Hollowell,Bodega Marine Reserve,38.3193,-123.063667,A. strigosus,Bradyrhizobium,
19AcS312.2.1,19AcHe316.1.1,K1,19AcS397Asp.3.1,R1,11LoS24_1,I1,11LoS6_3,G1,19AcARN282.3.1,D9,19AcS312.2.1,A6,05LoS16_8,L1,11LoS6_3,Z3,Genomes,Santa Cruz Island,34.00609,-119.70272,A. strigosus,Bradyrhizobium,24
19AcGLB102.2.1,19AcHe316.1.1,K1,19AcS397Asp.3.1,R1,12LoS5_1,I4,11LoS6_3,G1,19AcGLB103.2.1,D10,19AcGLB102.2.1,A7,05LoS16_8,L1,11LoS7_2,Z1,Genomes,Hastings Reserve,36.35856,-121.5516,A. glaber,Bradyrhizobium,24
11LoS8_1,19AcHe316.1.1,K1,19AcS397Asp.3.1,R1,11LoS34_4,I5,11LoS6_3,G1,11LoS8_1,D11,11LoS8_1,A8,05LoS16_8,L1,11LoS6_3,Z3,Hollowell,San Dimas Reservoir,34.163833,-117.76915,A. strigosus,Bradyrhizobium,
19AcGLB198.2.2,19AcHe316.1.1,K1,19AcS397Asp.3.1,R1,11LoS24_1,I1,11LoS6_3,G1,12LoS15_2,D12,12LoS18_1,A9,05LoS20_8,L8,11LoS7_2,Z1,Genomes,Big Creek Reserve,36.05393,-121.54079,A. glaber,Bradyrhizobium,24
05LoS16R1_16,19AcHe316.1.1,K1,19AcS397Asp.3.1,R1,11LoS24_1,I1,11LoS6_3,G1,12LoS5_2,D4,12LoS18_1,A9,05LoS16_8,L1,11LoS7_2,Z1,Genomes,Bodega Marine Reserve,38.318611,-123.062222,A. strigosus,Bradyrhizobium,24
CW9,19AcHe316.1.1,K1,19AcS397Asp.3.1,R1,11LoS24_1,I1,11LoS6_3,G1,11LoS34_5,D8,CW9,A10,05LoS16_8,L1,11LoS7_2,Z1,Genomes,Robert J. Bernard Biological Field Station,34.11055,-117.708983,A. strigosus,Bradyrhizobium,24
