Strain,X,dnaK_similarity,dnaK_coded,recA_similarity,recA_coded,ITS_similarity,ITS_coded,glnII_similarity,glnII_coded,nifD_similarity,nifD_coded,nodA_similarity,nodA_coded,nodL_similarity,nodL_coded,nodZ_similarity,nodZ_coded,Source,Site,Latitude,Longitude,Host,Rhizobial_lineage,ANI_species,CHR_haplotype,SYM_haplotype,Genome_haplotype,CHR.clade
05LoH15.1,426,05LoS14_1,K21,05LoS16_2,R23,24,I55,05LoS16_3,G4,05LoS16_2,D53,12LoS18_1,A9,05LoS16_12,L7,11LoS6_3,Z3,Genomes,BMR,38.3193,-123.063733,A. heermannii,Bradyrhizobium,21,K21_R23_I55_G4,D53_A9_L7_Z3,K21_R23_I55_G4_D53_A9_L7_Z3,B. canariense
05LoH17.10,428,05LoS14_1,K21,05LoS16_2,R23,24,I55,05LoS16_3,G4,05LoS16_2,D53,12LoS18_1,A9,05LoS16_12,L7,11LoS6_3,Z3,Genomes,BMR,38.3193,-123.063733,A. heermannii,Bradyrhizobium,21,K21_R23_I55_G4,D53_A9_L7_Z3,K21_R23_I55_G4_D53_A9_L7_Z3,B. canariense
05LoM26.3,276,09LoS43_2,K2,05LoM26.3,R47,05LoM26.3,I25,05LoM26.3,G9,19AcPa178.2.1,D6,19AcPa146.2.1,A27,19AcAm188A.1.1,L6,19AcPa151A.1.1,Z5,Genomes,BMR,38.3193,-123.063733,A. parviflorus,Bradyrhizobium,21,K2_R47_I25_G9,D6_A27_L6_Z5,K2_R47_I25_G9_D6_A27_L6_Z5,B. canariense
05LoM26.5,442,05LoM26.5,K27,05LoM26.5,R76,19AcGLB381sp.3.1,I59,05LoM26.5,G34,19AcS179.1.1,D14,05LoM26.5,A121,05LoM26.5,L84,19AcPa151A.1.1,Z5,Genomes,BMR,38.3193,-123.063733,A. parviflorus,Bradyrhizobium,23,K27_R76_I59_G34,D14_A121_L84_Z5,K27_R76_I59_G34_D14_A121_L84_Z5,B. canariense
05LoS1_2,202,19AcHe316.1.1,K1,19AcS397Asp.3.1,R1,11LoS24_1,I1,11LoS6_3,G1,05LoS1_2,D57,12LoS18_1,A9,05LoS1_2,L43,05LoS1_2,Z25,Hollowell,BMR,38.3193,-123.063733,A. strigosus,Bradyrhizobium,NA,K1_R1_I1_G1,D57_A9_L43_Z25,K1_R1_I1_G1_D57_A9_L43_Z25,B. canariense
05LoS1_3,203,19AcHe316.1.1,K1,19AcS397Asp.3.1,R1,11LoS24_1,I1,11LoS6_3,G1,11LoS34_5,D8,05LoS21_4,A68,05LoS16_19,L17,11LoS6_3,Z3,Hollowell,BMR,38.3193,-123.063733,A. strigosus,Bradyrhizobium,NA,K1_R1_I1_G1,D8_A68_L17_Z3,K1_R1_I1_G1_D8_A68_L17_Z3,B. canariense
05LoS1_4,142,19AcHe316.1.1,K1,19AcS397Asp.3.1,R1,11LoS24_1,I1,11LoS6_3,G1,11LoS34_5,D8,05LoS21_1,A28,05LoS16_19,L17,11LoS6_3,Z3,Hollowell,BMR,38.3193,-123.063733,A. strigosus,Bradyrhizobium,NA,K1_R1_I1_G1,D8_A28_L17_Z3,K1_R1_I1_G1_D8_A28_L17_Z3,B. canariense
05LoS1_5,465,05LoS1_5,K38,05LoS16_2,R23,19AcPa174.2.1,I24,05LoS1_5,G43,12LoS5_2,D4,05LoS1_5,A131,38B,L95,05LoS1_5,Z76,Hollowell,BMR,38.3193,-123.063733,A. strigosus,Bradyrhizobium,NA,K38_R23_I24_G43,D4_A131_L95_Z76,K38_R23_I24_G43_D4_A131_L95_Z76,B. canariense
05LoS1_6,204,19AcHe316.1.1,K1,19AcS397Asp.3.1,R1,11LoS24_1,I1,11LoS6_3,G1,11LoS34_5,D8,05LoS1_7,A69,05LoS16_19,L17,11LoS6_3,Z3,Hollowell,BMR,38.3193,-123.063733,A. strigosus,Bradyrhizobium,NA,K1_R1_I1_G1,D8_A69_L17_Z3,K1_R1_I1_G1_D8_A69_L17_Z3,B. canariense
05LoS1_7,435,05LoS14_4,K22,05LoS1_7,R73,19AcPa174.2.1,I24,05LoS14_4,G32,11LoS18_1,D55,05LoS1_7,A69,inoc4-2,L82,11LoS6_3,Z3,Hollowell,BMR,38.3193,-123.063733,A. strigosus,Bradyrhizobium,NA,K22_R73_I24_G32,D55_A69_L82_Z3,K22_R73_I24_G32_D55_A69_L82_Z3,B. canariense
05LoS1_8,386,05LoS8_1,K18,19AcS397Asp.3.1,R1,11LoS24_1,I1,11LoS6_3,G1,05LoS1_8,D98,19AcGLB10.1.1,A1,05LoS16_8,L1,11LoS7_2,Z1,Hollowell,BMR,38.3193,-123.063733,A. strigosus,Bradyrhizobium,NA,K18_R1_I1_G1,D98_A1_L1_Z1,K18_R1_I1_G1_D98_A1_L1_Z1,B. canariense
