"","X","i","j","pocp","population"
"1075",1,"05LoS1_4","05LoS3_1",0.995736306985897,"all1"
"1137",1,"05LoS1_4","19AcAm184.3.1",0.997048212528698,"all1"
"1184",1,"05LoS1_4","19AcD266.1.1",0.996720236142998,"all1"
"1277",1,"05LoS1_4","19AcS183.3.1",0.997048212528698,"all1"
"5021",1,"05LoS3_1","05LoS1_4",0.995736306985897,"all1"
"5097",1,"05LoS3_1","19AcAm184.3.1",0.997376188914398,"all1"
"5144",1,"05LoS3_1","19AcD266.1.1",0.997048212528698,"all1"
"5237",1,"05LoS3_1","19AcS183.3.1",0.998032141685799,"all1"
"21389",1,"19AcAm184.3.1","05LoS1_4",0.997048212528698,"all1"
"21404",1,"19AcAm184.3.1","05LoS3_1",0.997376188914398,"all1"
"21512",1,"19AcAm184.3.1","19AcD266.1.1",0.998360118071499,"all1"
"21605",1,"19AcAm184.3.1","19AcS183.3.1",0.998688094457199,"all1"
"33797",1,"19AcD266.1.1","05LoS1_4",0.996720236142998,"all1"
"33812",1,"19AcD266.1.1","05LoS3_1",0.997048212528698,"all1"
"33874",1,"19AcD266.1.1","19AcAm184.3.1",0.998360118071499,"all1"
"34013",1,"19AcD266.1.1","19AcS183.3.1",0.998360118071499,"all1"
"58349",1,"19AcS183.3.1","05LoS1_4",0.997048212528698,"all1"
"58364",1,"19AcS183.3.1","05LoS3_1",0.998032141685799,"all1"
"58426",1,"19AcS183.3.1","19AcAm184.3.1",0.998688094457199,"all1"
"58473",1,"19AcS183.3.1","19AcD266.1.1",0.998360118071499,"all1"
"2400",1,"05LoS16R1_16","09LoS36_3",0.995736306985897,"I3"
"2500",1,"05LoS16R1_16","19AcARN300.2.1",0.996720236142998,"I3"
"2573",1,"05LoS16R1_16","19AcPa177.2.2",0.996064283371597,"I3"
"2636",1,"05LoS16R1_16","CW9",0.997704165300098,"I3"
"6346",1,"09LoS36_3","05LoS16R1_16",0.995736306985897,"I3"
"6460",1,"09LoS36_3","19AcARN300.2.1",0.997048212528698,"I3"
"6533",1,"09LoS36_3","19AcPa177.2.2",0.996392259757298,"I3"
"6596",1,"09LoS36_3","CW9",0.998032141685799,"I3"
"32746",1,"19AcARN300.2.1","05LoS16R1_16",0.996720236142998,"I3"
"32761",1,"19AcARN300.2.1","09LoS36_3",0.997048212528698,"I3"
"32933",1,"19AcARN300.2.1","19AcPa177.2.2",0.997376188914398,"I3"
"32996",1,"19AcARN300.2.1","CW9",0.999016070842899,"I3"
"52018",1,"19AcPa177.2.2","05LoS16R1_16",0.996064283371597,"I3"
"52033",1,"19AcPa177.2.2","09LoS36_3",0.996392259757298,"I3"
"52133",1,"19AcPa177.2.2","19AcARN300.2.1",0.997376188914398,"I3"
"52268",1,"19AcPa177.2.2","CW9",0.998360118071499,"I3"
"68650",1,"CW9","05LoS16R1_16",0.997704165300098,"I3"
"68665",1,"CW9","09LoS36_3",0.998032141685799,"I3"
"68765",1,"CW9","19AcARN300.2.1",0.999016070842899,"I3"
"68838",1,"CW9","19AcPa177.2.2",0.998360118071499,"I3"
"2494",1,"05LoS16R1_16","19AcARN268.1.1",0.996720236142998,"R3"
"2529",1,"05LoS16R1_16","19AcGLB198.2.2",0.996064283371597,"R3"
"2539",1,"05LoS16R1_16","19AcHe316.1.1",0.996392259757298,"R3"
"2609",1,"05LoS16R1_16","19AcS312.2.1",0.995736306985897,"R3"
"31162",1,"19AcARN268.1.1","05LoS16R1_16",0.996720236142998,"R3"
"31305",1,"19AcARN268.1.1","19AcGLB198.2.2",0.997376188914398,"R3"
"31315",1,"19AcARN268.1.1","19AcHe316.1.1",0.997704165300098,"R3"
"31385",1,"19AcARN268.1.1","19AcS312.2.1",0.997048212528698,"R3"
"40402",1,"19AcGLB198.2.2","05LoS16R1_16",0.996064283371597,"R3"
"40511",1,"19AcGLB198.2.2","19AcARN268.1.1",0.997376188914398,"R3"
"40555",1,"19AcGLB198.2.2","19AcHe316.1.1",0.997048212528698,"R3"
"40625",1,"19AcGLB198.2.2","19AcS312.2.1",0.997048212528698,"R3"
"43042",1,"19AcHe316.1.1","05LoS16R1_16",0.996392259757298,"R3"
"43151",1,"19AcHe316.1.1","19AcARN268.1.1",0.997704165300098,"R3"
"43186",1,"19AcHe316.1.1","19AcGLB198.2.2",0.997048212528698,"R3"
"43265",1,"19AcHe316.1.1","19AcS312.2.1",0.996720236142998,"R3"
"61522",1,"19AcS312.2.1","05LoS16R1_16",0.995736306985897,"R3"
"61631",1,"19AcS312.2.1","19AcARN268.1.1",0.997048212528698,"R3"
"61666",1,"19AcS312.2.1","19AcGLB198.2.2",0.997048212528698,"R3"
"61676",1,"19AcS312.2.1","19AcHe316.1.1",0.996720236142998,"R3"
"18476",1,"19AcAm188A.1.1","19AcPa146.2.1",0.820168591945052,"metapop"
"18598",1,"19AcAm188A.1.1","19AcAm206.1.1",0.858403224049668,"metapop"
"18628",1,"19AcAm188A.1.1","CW4",0.802118644067797,"metapop"
"18631",1,"19AcAm188A.1.1","19AcS182.1.1",0.807902610131022,"metapop"
"19203",1,"19AcAm206.1.1","19AcPa146.2.1",0.83179012345679,"metapop"
"19221",1,"19AcAm206.1.1","CW4",0.818600471751095,"metapop"
"19303",1,"19AcAm206.1.1","19AcS182.1.1",0.81913499344692,"metapop"
"19323",1,"19AcAm206.1.1","19AcAm188A.1.1",0.858403224049668,"metapop"
"41157",1,"19AcPa146.2.1","CW4",0.846747401135998,"metapop"
"41171",1,"19AcPa146.2.1","19AcAm188A.1.1",0.820168591945052,"metapop"
"41177",1,"19AcPa146.2.1","19AcAm206.1.1",0.83179012345679,"metapop"
"41259",1,"19AcPa146.2.1","19AcS182.1.1",0.842028380634391,"metapop"
"50103",1,"19AcS182.1.1","19AcAm206.1.1",0.81913499344692,"metapop"
"50138",1,"19AcS182.1.1","19AcAm188A.1.1",0.807902610131022,"metapop"
"50158",1,"19AcS182.1.1","CW4",0.866702071163038,"metapop"
"50262",1,"19AcS182.1.1","19AcPa146.2.1",0.842028380634391,"metapop"
"58156",1,"CW4","19AcAm206.1.1",0.818600471751095,"metapop"
"58173",1,"CW4","19AcAm188A.1.1",0.802118644067797,"metapop"
"58193",1,"CW4","19AcPa146.2.1",0.846747401135998,"metapop"
"58271",1,"CW4","19AcS182.1.1",0.866702071163038,"metapop"
"15973",1,"19AcAm128.1.1","19AcS313A.2.1",0.854171204530603,"species"
"15978",1,"19AcAm128.1.1","19AcS217.3.1",0.861596958174905,"species"
"16128",1,"19AcAm128.1.1","19AcGLB232.1.1",0.847318389860345,"species"
"16208",1,"19AcAm128.1.1","19AcGLB103.2.1",0.854974704890388,"species"
"32784",1,"19AcGLB103.2.1","19AcS313A.2.1",0.879728317659352,"species"
"32876",1,"19AcGLB103.2.1","19AcGLB232.1.1",0.821079806936805,"species"
"32877",1,"19AcGLB103.2.1","19AcAm128.1.1",0.854974704890388,"species"
"32905",1,"19AcGLB103.2.1","19AcS217.3.1",0.847492963619306,"species"
"34882",1,"19AcGLB232.1.1","19AcGLB103.2.1",0.821079806936805,"species"
"34894",1,"19AcGLB232.1.1","19AcS313A.2.1",0.836801115889806,"species"
"35047",1,"19AcGLB232.1.1","19AcAm128.1.1",0.847318389860345,"species"
"35079",1,"19AcGLB232.1.1","19AcS217.3.1",0.834222119174588,"species"
"51135",1,"19AcS217.3.1","19AcAm128.1.1",0.861596958174905,"species"
"51203",1,"19AcS217.3.1","19AcS313A.2.1",0.877678475288037,"species"
"51238",1,"19AcS217.3.1","19AcGLB103.2.1",0.847492963619306,"species"
"51281",1,"19AcS217.3.1","19AcGLB232.1.1",0.834222119174588,"species"
"54279",1,"19AcS313A.2.1","19AcGLB103.2.1",0.879728317659352,"species"
"54323",1,"19AcS313A.2.1","19AcS217.3.1",0.877678475288037,"species"
"54356",1,"19AcS313A.2.1","19AcAm128.1.1",0.854171204530603,"species"
"54363",1,"19AcS313A.2.1","19AcGLB232.1.1",0.836801115889806,"species"
"29153",2,"19AcAm40.3.1","19AcAm41.3.1",0.998360118071499,"all1"
"29237",2,"19AcAm40.3.1","19AcPa177.2.2",0.996720236142998,"all1"
"29253",2,"19AcAm40.3.1","19AcS142.3.1",0.996392259757298,"all1"
"29281",2,"19AcAm40.3.1","19AcS398sp.3.1",0.996720236142998,"all1"
"29943",2,"19AcAm41.3.1","19AcAm40.3.1",0.998360118071499,"all1"
