"","isolate1","isolate2","ani","population","sample"
"2926","05LoS22_10","11LoS18_3",99.3797,"metapop",1
"2967","05LoS22_10","19AcHe317.2.1",99.2444,"metapop",1
"3049","05LoS22_10","19AcPa174.2.1",96.0661,"metapop",1
"3123","05LoS22_10","11LoS32_1",91.0225,"metapop",1
"6511","11LoS18_3","19AcHe317.2.1",99.6218,"metapop",1
"6574","11LoS18_3","05LoS22_10",99.3752,"metapop",1
"6633","11LoS18_3","19AcPa174.2.1",96.1693,"metapop",1
"6706","11LoS18_3","11LoS32_1",91.1267,"metapop",1
"8580","11LoS32_1","05LoS22_10",91.214,"metapop",1
"8609","11LoS32_1","11LoS18_3",91.1137,"metapop",1
"8625","11LoS32_1","19AcHe317.2.1",91.0864,"metapop",1
"8710","11LoS32_1","19AcPa174.2.1",90.8553,"metapop",1
"32051","19AcHe317.2.1","11LoS18_3",99.6374,"metapop",1
"32129","19AcHe317.2.1","05LoS22_10",99.2577,"metapop",1
"32169","19AcHe317.2.1","19AcPa174.2.1",96.1415,"metapop",1
"32241","19AcHe317.2.1","11LoS32_1",91.1684,"metapop",1
"37663","19AcPa174.2.1","11LoS18_3",96.1374,"metapop",1
"37675","19AcPa174.2.1","19AcHe317.2.1",96.1182,"metapop",1
"37732","19AcPa174.2.1","05LoS22_10",96.0531,"metapop",1
"37841","19AcPa174.2.1","11LoS32_1",90.8319,"metapop",1
"1147","05LoS16R10_32","11LoS18_3",96.3791,"species",1
"1183","05LoS16R10_32","19AcAM290.1.1",96.318,"species",1
"1226","05LoS16R10_32","19AcAm40.6.1",96.2605,"species",1
"1227","05LoS16R10_32","09LoS36_1",96.2577,"species",1
"4500","09LoS36_1","19AcAm40.6.1",99.6581,"species",1
"4504","09LoS36_1","19AcAM290.1.1",99.6403,"species",1
"4537","09LoS36_1","11LoS18_3",99.5492,"species",1
"4605","09LoS36_1","05LoS16R10_32",96.2573,"species",1
"6542","11LoS18_3","09LoS36_1",99.5427,"species",1
"6552","11LoS18_3","19AcAm40.6.1",99.4929,"species",1
"6554","11LoS18_3","19AcAM290.1.1",99.4884,"species",1
"6622","11LoS18_3","05LoS16R10_32",96.3731,"species",1
"14800","19AcAM290.1.1","09LoS36_1",99.6394,"species",1
"14831","19AcAM290.1.1","11LoS18_3",99.4973,"species",1
"14851","19AcAM290.1.1","19AcAm40.6.1",99.4221,"species",1
"14906","19AcAM290.1.1","05LoS16R10_32",96.316,"species",1
"23973","19AcAm40.6.1","09LoS36_1",99.6583,"species",1
"24016","19AcAm40.6.1","11LoS18_3",99.4916,"species",1
"24032","19AcAm40.6.1","19AcAM290.1.1",99.423,"species",1
"24091","19AcAm40.6.1","05LoS16R10_32",96.2646,"species",1
"4832","09LoS35_1","19AcS5.6.1",99.4765,"metapop",2
"4880","09LoS35_1","19AcS179.2.1",99.0386,"metapop",2
"4942","09LoS35_1","11LoS8_1",98.4097,"metapop",2
"5022","09LoS35_1","09LoS36_4",91.142,"metapop",2
"5612","09LoS36_4","09LoS35_1",91.0392,"metapop",2
"5660","09LoS36_4","19AcS179.2.1",90.7798,"metapop",2
"5682","09LoS36_4","19AcS5.6.1",90.664,"metapop",2
"5760","09LoS36_4","11LoS8_1",90.1858,"metapop",2
"12146","11LoS8_1","19AcS179.2.1",98.7776,"metapop",2
