"","isolate1","isolate2","ani","haplotype","sample"
"19516","19AcAm129.3.1","19AcAm41.3.1",99.533,"K1_R1_I1_G1",1
"19534","19AcAm129.3.1","19AcS312.3.1",99.4977,"K1_R1_I1_G1",1
"19578","19AcAm129.3.1","19AcS136.2.1",99.3055,"K1_R1_I1_G1",1
"19579","19AcAm129.3.1","19AcPa177.2.2",99.2825,"K1_R1_I1_G1",1
"24440","19AcAm41.3.1","19AcAm129.3.1",99.5234,"K1_R1_I1_G1",1
"24447","19AcAm41.3.1","19AcS312.3.1",99.4985,"K1_R1_I1_G1",1
"24510","19AcAm41.3.1","19AcS136.2.1",99.2091,"K1_R1_I1_G1",1
"24514","19AcAm41.3.1","19AcPa177.2.2",99.2029,"K1_R1_I1_G1",1
"38334","19AcPa177.2.2","19AcS312.3.1",99.4569,"K1_R1_I1_G1",1
"38383","19AcPa177.2.2","19AcAm129.3.1",99.2852,"K1_R1_I1_G1",1
"38397","19AcPa177.2.2","19AcAm41.3.1",99.2147,"K1_R1_I1_G1",1
"38414","19AcPa177.2.2","19AcS136.2.1",98.9367,"K1_R1_I1_G1",1
"40566","19AcS136.2.1","19AcAm129.3.1",99.3104,"K1_R1_I1_G1",1
"40577","19AcS136.2.1","19AcS312.3.1",99.2541,"K1_R1_I1_G1",1
"40583","19AcS136.2.1","19AcAm41.3.1",99.2189,"K1_R1_I1_G1",1
"40641","19AcS136.2.1","19AcPa177.2.2",98.9378,"K1_R1_I1_G1",1
"45085","19AcS312.3.1","19AcAm41.3.1",99.5026,"K1_R1_I1_G1",1
"45089","19AcS312.3.1","19AcAm129.3.1",99.4955,"K1_R1_I1_G1",1
"45100","19AcS312.3.1","19AcPa177.2.2",99.4481,"K1_R1_I1_G1",1
"45123","19AcS312.3.1","19AcS136.2.1",99.2454,"K1_R1_I1_G1",1
"1581","05LoS16R1_16","19AcARN268.1.1",99.6656,"K1_R3_I1_G1",1
"1629","05LoS16R1_16","19AcGLB102.2.2",99.499,"K1_R3_I1_G1",1
"1647","05LoS16R1_16","19AcHe316.1.1",99.4167,"K1_R3_I1_G1",1
"15921","19AcARN268.1.1","05LoS16R1_16",99.6613,"K1_R3_I1_G1",1
"15952","19AcARN268.1.1","19AcGLB102.2.2",99.5419,"K1_R3_I1_G1",1
"15994","19AcARN268.1.1","19AcHe316.1.1",99.3067,"K1_R3_I1_G1",1
"29134","19AcGLB102.2.2","19AcARN268.1.1",99.5398,"K1_R3_I1_G1",1
"29149","19AcGLB102.2.2","05LoS16R1_16",99.4971,"K1_R3_I1_G1",1
"29190","19AcGLB102.2.2","19AcHe316.1.1",99.2992,"K1_R3_I1_G1",1
"31851","19AcHe316.1.1","05LoS16R1_16",99.4232,"K1_R3_I1_G1",1
"31870","19AcHe316.1.1","19AcARN268.1.1",99.3248,"K1_R3_I1_G1",1
"31877","19AcHe316.1.1","19AcGLB102.2.2",99.3011,"K1_R3_I1_G1",1
"1575","05LoS16R1_16","05LoS3_1",99.6845,"K1_R1_I3_G1",1
"15811","05LoS16R1_16","19AcARN268.1.1",99.6656,"K1_R1_I3_G1",1
"1628","05LoS16R1_16","19AcAm43.3.1",99.5012,"K1_R1_I3_G1",1
"1662","05LoS16R1_16","19AcARN300.2.1",99.3423,"K1_R1_I3_G1",1
"3587","05LoS3_1","19AcARN268.1.1",99.7139,"K1_R1_I3_G1",1
"3588","05LoS3_1","05LoS16R1_16",99.6754,"K1_R1_I3_G1",1
"3639","05LoS3_1","19AcAm43.3.1",99.4511,"K1_R1_I3_G1",1
"3685","05LoS3_1","19AcARN300.2.1",99.1564,"K1_R1_I3_G1",1
"15908","19AcARN268.1.1","05LoS3_1",99.717,"K1_R1_I3_G1",1
"159211","19AcARN268.1.1","05LoS16R1_16",99.6613,"K1_R1_I3_G1",1
"15953","19AcARN268.1.1","19AcAm43.3.1",99.5377,"K1_R1_I3_G1",1
"16010","19AcARN268.1.1","19AcARN300.2.1",99.1629,"K1_R1_I3_G1",1
"17266","19AcARN300.2.1","05LoS16R1_16",99.3406,"K1_R1_I3_G1",1
"17283","19AcARN300.2.1","19AcAm43.3.1",99.2478,"K1_R1_I3_G1",1
"17304","19AcARN300.2.1","19AcARN268.1.1",99.1628,"K1_R1_I3_G1",1
"17305","19AcARN300.2.1","05LoS3_1",99.1586,"K1_R1_I3_G1",1
"25335","19AcAm43.3.1","19AcARN268.1.1",99.5382,"K1_R1_I3_G1",1
"25346","19AcAm43.3.1","05LoS16R1_16",99.49,"K1_R1_I3_G1",1
"25364","19AcAm43.3.1","05LoS3_1",99.4491,"K1_R1_I3_G1",1
"25402","19AcAm43.3.1","19AcARN300.2.1",99.2463,"K1_R1_I3_G1",1
"17378","19AcARN268.1.1","19AcS121.1.1",99.1386,"K1_R1_I1_G1",2
"17448","19AcARN268.1.1","19AcAm43.3.1",98.5919,"K1_R1_I1_G1",2
"17474","19AcARN268.1.1","19AcAm40.3.1",98.3766,"K1_R1_I1_G1",2
"17477","19AcARN268.1.1","19AcS398Asp.2.1",98.3501,"K1_R1_I1_G1",2
"25549","19AcAm40.3.1","19AcS398Asp.2.1",99.8657,"K1_R1_I1_G1",2
"25550","19AcAm40.3.1","19AcAm43.3.1",99.651,"K1_R1_I1_G1",2
"25659","19AcAm40.3.1","19AcS121.1.1",98.569,"K1_R1_I1_G1",2
"25674","19AcAm40.3.1","19AcARN268.1.1",98.3616,"K1_R1_I1_G1",2
"27236","19AcAm43.3.1","19AcAm40.3.1",99.648,"K1_R1_I1_G1",2
"27238","19AcAm43.3.1","19AcS398Asp.2.1",99.5271,"K1_R1_I1_G1",2
"27319","19AcAm43.3.1","19AcS121.1.1",98.7846,"K1_R1_I1_G1",2
"27349","19AcAm43.3.1","19AcARN268.1.1",98.5719,"K1_R1_I1_G1",2
"46305","19AcS121.1.1","19AcARN268.1.1",99.1112,"K1_R1_I1_G1",2
"46333","19AcS121.1.1","19AcAm43.3.1",98.8893,"K1_R1_I1_G1",2
"46354","19AcS121.1.1","19AcAm40.3.1",98.6887,"K1_R1_I1_G1",2
"46363","19AcS121.1.1","19AcS398Asp.2.1",98.6077,"K1_R1_I1_G1",2
"53263","19AcS398Asp.2.1","19AcAm40.3.1",99.7495,"K1_R1_I1_G1",2
"53278","19AcS398Asp.2.1","19AcAm43.3.1",99.4351,"K1_R1_I1_G1",2
"53371","19AcS398Asp.2.1","19AcS121.1.1",98.5745,"K1_R1_I1_G1",2
"53390","19AcS398Asp.2.1","19AcARN268.1.1",98.327,"K1_R1_I1_G1",2
"1699","05LoS16R1_16","19AcARN268.1.1",99.2403,"K1_R3_I1_G1",2
"1711","05LoS16R1_16","19AcHe316.1.1",99.1323,"K1_R3_I1_G1",2
"1770","05LoS16R1_16","19AcS312.2.1",98.6598,"K1_R3_I1_G1",2
"1799","05LoS16R1_16","19AcGLB102.2.2",98.5051,"K1_R3_I1_G1",2
"17366","19AcARN268.1.1","05LoS16R1_16",99.2515,"K1_R3_I1_G1",2
"17384","19AcARN268.1.1","19AcHe316.1.1",99.0858,"K1_R3_I1_G1",2
"17432","19AcARN268.1.1","19AcS312.2.1",98.7479,"K1_R3_I1_G1",2
"17452","19AcARN268.1.1","19AcGLB102.2.2",98.5549,"K1_R3_I1_G1",2
"31127","19AcGLB102.2.2","19AcS312.2.1",99.2895,"K1_R3_I1_G1",2
"31205","19AcGLB102.2.2","19AcARN268.1.1",98.5318,"K1_R3_I1_G1",2
"31207","19AcGLB102.2.2","05LoS16R1_16",98.476,"K1_R3_I1_G1",2
"31210","19AcGLB102.2.2","19AcHe316.1.1",98.3978,"K1_R3_I1_G1",2
"35689","19AcHe316.1.1","05LoS16R1_16",99.1407,"K1_R3_I1_G1",2
"35694","19AcHe316.1.1","19AcARN268.1.1",99.0782,"K1_R3_I1_G1",2
"35746","19AcHe316.1.1","19AcS312.2.1",98.6391,"K1_R3_I1_G1",2
"35779","19AcHe316.1.1","19AcGLB102.2.2",98.4073,"K1_R3_I1_G1",2
"51839","19AcS312.2.1","19AcGLB102.2.2",99.2751,"K1_R3_I1_G1",2
"51897","19AcS312.2.1","19AcARN268.1.1",98.7265,"K1_R3_I1_G1",2
"51903","19AcS312.2.1","05LoS16R1_16",98.6342,"K1_R3_I1_G1",2
"51905","19AcS312.2.1","19AcHe316.1.1",98.633,"K1_R3_I1_G1",2
"16991","05LoS16R1_16","19AcARN268.1.1",99.2403,"K1_R1_I3_G1",2
"17111","05LoS16R1_16","19AcHe316.1.1",99.1323,"K1_R1_I3_G1",2
"1745","05LoS16R1_16","19AcPa177.2.2",98.8502,"K1_R1_I3_G1",2
"1784","05LoS16R1_16","05LoS3_1",98.5629,"K1_R1_I3_G1",2
"4427","05LoS3_1","19AcPa177.2.2",98.6586,"K1_R1_I3_G1",2
"4436","05LoS3_1","05LoS16R1_16",98.5657,"K1_R1_I3_G1",2
"4448","05LoS3_1","19AcARN268.1.1",98.3984,"K1_R1_I3_G1",2
"4468","05LoS3_1","19AcHe316.1.1",98.0812,"K1_R1_I3_G1",2
"173661","19AcARN268.1.1","05LoS16R1_16",99.2515,"K1_R1_I3_G1",2
"173841","19AcARN268.1.1","19AcHe316.1.1",99.0858,"K1_R1_I3_G1",2
"17418","19AcARN268.1.1","19AcPa177.2.2",98.849,"K1_R1_I3_G1",2
